id;genero;nome
1;male  ;Martins                
2;male  ;Carvalho               
3;female;Rocha                  
4;male  ;Cunha                  
5;female;Costa                  
6;male  ;Cardoso                
7;male  ;Almeida                
8;female;Oliveira               
9;male  ;Castro                 
10;male  ;Fernandes              
11;female;Melo                   
12;female;Martins                
13;female;Castro                 
14;male  ;Ribeiro                
15;female;Souza                  
16;male  ;Azevedo                
17;male  ;Fernandes              
18;female;Oliveira               
19;female;Barros                 
20;male  ;Rodrigues              
21;male  ;Cardoso                
22;female;Costa                  
23;male  ;Melo                   
24;female;Rocha                  
25;female;Sousa                  
26;male  ;Azevedo                
27;female;Dias                   
28;male  ;Almeida                
29;male  ;Correia                
30;female;Almeida                
31;female;Lima                   
32;male  ;Castro                 
33;female;Araujo                 
34;female;Araujo                 
35;female;Almeida                
36;female;Barros                 
37;female;Sousa                  
38;female;Oliveira               
39;female;Rocha                  
40;male  ;Cardoso                
41;male  ;Rodrigues              
42;male  ;Rodrigues              
43;female;Barbosa                
44;female;Castro                 
45;male  ;Cunha                  
46;female;Pereira                
47;female;Santos                 
48;male  ;Rocha                  
49;male  ;Fernandes              
50;female;Martins                
51;male  ;Barbosa                
52;female;Correia                
53;female;Souza                  
54;female;Ribeiro                
55;male  ;Barros                 
56;female;Costa                  
57;female;Gomes                  
58;male  ;Sousa                  
59;female;Barros                 
60;male  ;Oliveira               
61;female;Lima                   
62;female;Pereira                
63;female;Pinto                  
64;male  ;Carvalho               
65;female;Gomes                  
66;female;Goncalves              
67;female;Martins                
68;female;Carvalho               
69;female;Sousa                  
70;female;Fernandes              
71;male  ;Dias                   
72;male  ;Dias                   
73;male  ;Pinto                  
74;male  ;Carvalho               
75;male  ;Souza                  
76;female;Ferreira               
77;female;Ferreira               
78;female;Fernandes              
79;male  ;Ferreira               
80;male  ;Rocha                  
81;female;Souza                  
82;female;Martins                
83;female;Correia                
84;female;Araujo                 
85;male  ;Pinto                  
86;male  ;Ribeiro                
87;female;Araujo                 
88;female;Rodrigues              
89;female;Azevedo                
90;female;Martins                
