id_empregado;primeiroNome;nomeMeio;ultimoNome;NameStyle;dataNascimento;Email;Telefone;Sexo;Departamento
1;Guy                                               ;R                                                 ;Gilbert                                           ;N;1981/11/12 00:00:00.000;guy1@adventure-works.com                          ;320-555-0195             ;M;Production                                        
2;Kevin                                             ;F                                                 ;Brown                                             ;N;1986/12/01 00:00:00.000;kevin0@adventure-works.com                        ;150-555-0189             ;M;Marketing                                         
3;Roberto                                           ;                                                  ;Tamburello                                        ;N;1974/06/12 00:00:00.000;roberto0@adventure-works.com                      ;212-555-0187             ;M;Engineering                                       
4;Rob                                               ;                                                  ;Walters                                           ;N;1974/07/23 00:00:00.000;rob0@adventure-works.com                          ;612-555-0100             ;M;Tool Design                                       
5;Rob                                               ;                                                  ;Walters                                           ;N;1974/07/23 00:00:00.000;rob0@adventure-works.com                          ;612-555-0100             ;M;Tool Design                                       
6;Thierry                                           ;B                                                 ;D'Hers                                            ;N;1959/02/26 00:00:00.000;thierry0@adventure-works.com                      ;168-555-0183             ;M;Tool Design                                       
7;David                                             ;M                                                 ;Bradley                                           ;N;1974/10/17 00:00:00.000;david0@adventure-works.com                        ;913-555-0172             ;M;Marketing                                         
8;David                                             ;M                                                 ;Bradley                                           ;N;1974/10/17 00:00:00.000;david0@adventure-works.com                        ;913-555-0172             ;M;Marketing                                         
9;JoLynn                                            ;M                                                 ;Dobney                                            ;N;1955/08/16 00:00:00.000;jolynn0@adventure-works.com                       ;903-555-0145             ;F;Production                                        
10;Ruth                                              ;Ann                                               ;Ellerbrock                                        ;N;1956/01/03 00:00:00.000;ruth0@adventure-works.com                         ;145-555-0130             ;F;Production                                        
11;Gail                                              ;A                                                 ;Erickson                                          ;N;1952/04/27 00:00:00.000;gail0@adventure-works.com                         ;849-555-0139             ;F;Engineering                                       
12;Barry                                             ;K                                                 ;Johnson                                           ;N;1955/10/25 00:00:00.000;barry0@adventure-works.com                        ;206-555-0180             ;M;Production                                        
13;Jossef                                            ;H                                                 ;Goldberg                                          ;N;1958/10/09 00:00:00.000;jossef0@adventure-works.com                       ;122-555-0189             ;M;Engineering                                       
14;Terri                                             ;Lee                                               ;Duffy                                             ;N;1971/03/01 00:00:00.000;terri0@adventure-works.com                        ;819-555-0175             ;F;Engineering                                       
15;Sidney                                            ;M                                                 ;Higa                                              ;N;1956/03/30 00:00:00.000;sidney0@adventure-works.com                       ;424-555-0189             ;M;Production                                        
16;Taylor                                            ;R                                                 ;Maxwell                                           ;N;1955/10/31 00:00:00.000;taylor0@adventure-works.com                       ;508-555-0165             ;M;Production                                        
17;Jeffrey                                           ;L                                                 ;Ford                                              ;N;1956/02/09 00:00:00.000;jeffrey0@adventure-works.com                      ;984-555-0185             ;M;Production                                        
18;Jo                                                ;A                                                 ;Brown                                             ;N;1956/05/08 00:00:00.000;jo0@adventure-works.com                           ;632-555-0129             ;F;Production                                        
19;Doris                                             ;M                                                 ;Hartwig                                           ;N;1955/11/03 00:00:00.000;doris0@adventure-works.com                        ;328-555-0150             ;F;Production                                        
20;John                                              ;T                                                 ;Campbell                                          ;N;1956/03/07 00:00:00.000;john0@adventure-works.com                         ;435-555-0113             ;M;Production                                        
21;Diane                                             ;R                                                 ;Glimp                                             ;N;1955/10/28 00:00:00.000;diane0@adventure-works.com                        ;202-555-0151             ;F;Production                                        
22;Steven                                            ;T                                                 ;Selikoff                                          ;N;1976/12/12 00:00:00.000;steven0@adventure-works.com                       ;925-555-0114             ;M;Production                                        
23;Peter                                             ;J                                                 ;Krebs                                             ;N;1982/06/03 00:00:00.000;peter0@adventure-works.com                        ;913-555-0196             ;M;Production Control                                
24;Stuart                                            ;V                                                 ;Munson                                            ;N;1962/04/13 00:00:00.000;stuart0@adventure-works.com                       ;413-555-0136             ;M;Production                                        
25;Greg                                              ;F                                                 ;Alderson                                          ;N;1975/11/15 00:00:00.000;greg0@adventure-works.com                         ;332-555-0150             ;M;Production                                        
26;David                                             ;N                                                 ;Johnson                                           ;N;1979/06/02 00:00:00.000;david1@adventure-works.com                        ;166-555-0162             ;M;Production                                        
27;Zheng                                             ;W                                                 ;Mu                                                ;N;1983/05/26 00:00:00.000;zheng0@adventure-works.com                        ;113-555-0173             ;M;Production                                        
28;Ivo                                               ;William                                           ;Salmre                                            ;N;1981/08/03 00:00:00.000;ivo0@adventure-works.com                          ;115-555-0179             ;M;Production                                        
29;Paul                                              ;B                                                 ;Komosinski                                        ;N;1980/06/13 00:00:00.000;paul0@adventure-works.com                         ;147-555-0160             ;M;Production                                        
30;Ashvini                                           ;R                                                 ;Sharma                                            ;N;1976/10/25 00:00:00.000;ashvini0@adventure-works.com                      ;656-555-0119             ;M;Information Services                              
31;Kendall                                           ;C                                                 ;Keil                                              ;N;1985/12/28 00:00:00.000;kendall0@adventure-works.com                      ;138-555-0128             ;M;Production                                        
32;Paula                                             ;M                                                 ;Barreto de Mattos                                 ;N;1975/09/11 00:00:00.000;paula0@adventure-works.com                        ;523-555-0175             ;F;Human Resources                                   
33;Alejandro                                         ;E                                                 ;McGuel                                            ;N;1988/07/05 00:00:00.000;alejandro0@adventure-works.com                    ;668-555-0130             ;M;Production                                        
34;Garrett                                           ;R                                                 ;Young                                             ;N;1984/03/25 00:00:00.000;garrett0@adventure-works.com                      ;609-555-0179             ;M;Production                                        
35;Jian Shuo                                         ;                                                  ;Wang                                              ;N;1983/02/24 00:00:00.000;jianshuo0@adventure-works.com                     ;952-555-0178             ;M;Production                                        
36;Susan                                             ;W                                                 ;Eaton                                             ;N;1977/09/17 00:00:00.000;susan0@adventure-works.com                        ;943-555-0196             ;F;Shipping and Receiving                            
37;Vamsi                                             ;N                                                 ;Kuppa                                             ;N;1976/10/16 00:00:00.000;vamsi0@adventure-works.com                        ;937-555-0137             ;M;Shipping and Receiving                            
38;Alice                                             ;O                                                 ;Ciccu                                             ;N;1977/08/26 00:00:00.000;alice0@adventure-works.com                        ;333-555-0173             ;F;Production                                        
39;Simon                                             ;D                                                 ;Rapier                                            ;N;1989/12/15 00:00:00.000;simon0@adventure-works.com                        ;963-555-0134             ;M;Production                                        
40;Jinghao                                           ;K                                                 ;Liu                                               ;N;1988/09/05 00:00:00.000;jinghao0@adventure-works.com                      ;794-555-0159             ;M;Production                                        
41;Michael                                           ;T                                                 ;Hines                                             ;N;1989/12/15 00:00:00.000;michael0@adventure-works.com                      ;218-555-0126             ;M;Production                                        
42;Yvonne                                            ;S                                                 ;McKay                                             ;N;1988/11/13 00:00:00.000;yvonne0@adventure-works.com                       ;286-555-0189             ;F;Production                                        
43;Peng                                              ;J                                                 ;Wu                                                ;N;1975/10/17 00:00:00.000;peng0@adventure-works.com                         ;164-555-0164             ;M;Quality Assurance                                 
44;Jean                                              ;E                                                 ;Trenary                                           ;N;1975/07/13 00:00:00.000;jean0@adventure-works.com                         ;685-555-0120             ;F;Information Services                              
45;Russell                                           ;                                                  ;Hunter                                            ;N;1972/06/25 00:00:00.000;russell0@adventure-works.com                      ;786-555-0144             ;M;Production                                        
46;A. Scott                                          ;                                                  ;Wright                                            ;N;1968/04/17 00:00:00.000;ascott0@adventure-works.com                       ;992-555-0194             ;M;Production Control                                
47;Fred                                              ;T                                                 ;Northup                                           ;N;1989/01/23 00:00:00.000;fred0@adventure-works.com                         ;818-555-0192             ;M;Production                                        
